Notice Date,"NAICS
                                  Code",Company,Location,"WIA
                                  Code","Total
                                  Employees","Effective
                                  Date","Type
                                  Code"
4/23/2020,446130,Visionworks,"5509 Urbana Pike                  Frederick, MD 21704",4,5,4/4/2020,2
4/23/2020,446130,Visionworks,"631 N. Frederick Avenue             Gaithersburg, MD 20879",7,9,4/4/2020,2
4/23/2020,446130,Visionworks,"271 Kentlands Blvd.             Gaithersburg, MD 20879",7,5,4/4/2020,2
4/23/2020,446130,Visionworks,"1402 S. Main Chapel Way             Suite 114                             Gambrills, MD 21054",1,4,4/4/2020,2
4/23/2020,446130,Visionworks,"7000 Arundel Mills Circle             Space 404                         Hanover, MD 21076",1,11,4/4/2020,2
4/23/2020,446130,Visionworks,"2830 Campus Way N.                Suite 628                           Lanham, MD 20706",8,8,4/4/2020,2
4/23/2020,446130,Visionworks,"1003 Fairlawn Avenue                Suite 24A                             Laurel, MD 20707",8,5,4/4/2020,2
4/23/2020,446130,Visionworks,"10369 Reisterstown Road             Owings Mills, MD 21117",2,6,4/4/2020,2
4/23/2020,446130,Visionworks,"11802-B Rockville Pike             Rockville, MD 20852",7,11,4/4/2020,2
4/23/2020,446130,Visionworks,"8652 Pulaski Highway              Suite A                         Rosedale, MD 21237",2,11,4/4/2020,2
4/23/2020,446130,Visionworks,"8551 Fenton Street              Silver Spring, MD 20910",7,7,4/4/2020,2
4/23/2020,446130,Visionworks,"825 Dulaney Valley Road             Suite 1335                   Towson, MD 21204",2,15,4/4/2020,2
4/23/2020,446130,Visionworks,"11110 Mall Circle                      Waldorf, MD 20603",9,14,4/4/2020,2
4/23/2020,446130,Visionworks,"400 N. Center Street                  Suite 187                            Westminster, MD 21157",6,14,4/4/2020,2
4/23/2020,446130,Visionworks,"11160 Veirs Mill Road                                                             P203A                                             Wheaton, MD 20902",7,12,4/4/2020,2
4/23/2020,446130,Visionworks,"656 Bel Air Road                      Bel Air, MD 21014",10,10,4/4/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Bonefish Grill","696J Bel Air Road                   #108                                   Bel Air, MD 21014",10,57,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Bonefish Grill","15910 Crain Highway SE           Brandywine, MD 20613",8,46,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Bonefish Grill","2381 Brandermill Boulevard         Gambrills, MD 21054",1,72,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Bonefish Grill","6711 Governor Ritchie Hwy.          Glen Burnie, MD 21060",1,47,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Bonefish Grill","10906 Boulevard Circle                  Owings Mills, MD 21117",2,58,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Bonefish Grill","127 East Joppa Road          Towson, MD 21286",2,49,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Bonefish Grill","1305 West 7th Street                 Frederick, MD 21702",4,54,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Bonefish Grill","82 Market Street                   Gaithersburg, MD 20878",7,51,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Carraba's","16431 Governor Bridge Road          Bowie, MD 20716",8,66,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Carraba's","19935 Century Boulevard             Germantown, MD 20874",7,63,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Carraba's","12728 Ocean Gateway            Ocean City, MD 21842",5,43,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Carraba's","8030 Ritchie Highway                         Pasadena, MD 21122",1,63,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Carraba's","3754 Crain Highway                   Waldorf, MD 20602",9,65,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Carraba's","7600 Belair Road                      Baltimore, MD 21236",2,63,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Carraba's","4430 Long Gate Parkway                Ellicott City, MD 21043",6,84,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Carraba's","130 Shawan Road                Hunt Valley, MD 21031",2,68,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Flemings","720 Aliceanna Street                Baltimore, MD 21202",3,48,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","2207 Forest Drive                     Annapolis, MD 21401",1,99,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","4215 Ebenezer Road               Baltimore, MD 21236",2,84,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","2400 Boston Street                  Baltimore, MD 21224",3,57,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","615 Bel Air Road                                        Bel Air, MD 21014",10,94,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","1007 West Patrick Street             Frederick, MD 21702",4,97,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","2507 Evergreen Road                   Gambrills, MD 21054",1,77,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","7744 Governor Ritchie Hwy.  Glen Burnie, MD 21061",1,127,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","240 Railway Lane                   Hagerstown, MD 21740",12,87,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","134 Shawan Road                Hunt Valley, MD 21030",2,66,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","6649 Crain Highway                 La Plata, MD 20646",9,65,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","12741 Ocean Gateway #920 Ocean City, MD 21842",5,68,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","10904 Boulevard Circle                   Owings Mills, MD 21117",2,75,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","8245 Dickerson Lane                 Salisbury, MD 21804",5,80,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","23415 Three Notch Road           California, MD 20619",9,87,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","3500 East West Highway              Hyattsville, MD 20782",8,82,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","80 Central Square Drive          Prince Frederick, MD 20678",9,88,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","3020 Crain Highway                         Waldorf, MD 20601",9,84,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","4420 Long Gate Parkway                 Ellicott City, MD 21043",6,144,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","12609 Wisteria Drive              Germantown, MD 20874",7,63,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","9660 Lottsford Court                Largo, MD 20774",8,76,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","14718 Baltimore Avenue             Laurel, MD 20707",8,84,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","6091 Oxon Hill Road                      Oxon Hill, MD 20745",8,87,4/27/2020,2
4/27/2020,722511,"OS Restaurant, LLC d/b/a Outback Steakhouse","13703 Georgia Avenue                Silver Spring, Md 20906",7,53,4/27/2020,2
4/27/2020,721110,Residence Inn at Hunt Valley,"45 Schilling Road                      Hunt Valley, MD 21031",2,34,3/23/2020,2
4/27/2020,532111,Enterprise Holdings,"7426 New Ridge Road                         Hanover, MD 21076",1,189,4/30/2020,2
4/27/2020,532111,Enterprise Holdings,"701 Wedeman Avenue               Linthicum Heights, MD 21090",1,220,4/30/2020,2
4/28/2020,541921,"Shutterfly Lifetouch, LLC",Statewide,13,413,3/12/2020,2
5/1/2020,722513,HMS Host,"6905 Rockledge Drive                     Bethesda, MD 20817",7,1,4/24/2020,2
5/4/2020,621111,Capital Digestive Care,"10215 Fernwood Road                  Suite 404                          Bethesda, MD 20817",7,3,3/30/2020,2
5/4/2020,621111,Capital Digestive Care,"4831 Tesla Drive                           Suite G                            Bowie, MD 20715",8,5,3/30/2020,2
5/4/2020,621111,Capital Digestive Care,"4861 Tesla Drive                          Suite K                              Bowie, MD 20715",8,4,3/30/2020,2
5/4/2020,621111,Capital Digestive Care,"5550 Friendship Boulevard                Suite T-90                             Chevy Chase, MD 20815",7,13,3/30/2020,2
5/4/2020,621111,Capital Digestive Care,"7350 Van Dusen Road                       Suite 210                                Laurel, MD 20707",8,18,3/30/2020,2
5/4/2020,621111,Capital Digestive Care,"15001 Shady Grove Road                     Suite 300                               Rockville, MD 20850",7,9,3/30/2020,2
5/4/2020,621111,Capital Digestive Care,"9711 Medical Center Drive                 Suite 308                              Rockville, MD 20850",7,11,3/30/2020,2
5/4/2020,621111,Capital Digestive Care,"10801 Lockwood Drive                     #200                                          Silver Spring, MD 20901",7,13,3/30/2020,2
5/4/2020,621111,Capital Digestive Care,"12510 Prosperity Drive                Suite 200                              Silver Spring, MD 20904",7,1,3/30/2020,2
5/7/2020,721110,Turf Valley Resort,"2700 Turf Valley Road                             Ellicott City, MD 21042",6,200,5/11/2020,2
5/8/2020,485999,"Transdev Services, Inc.","8401 D'Arcy Road                     Forestville, MD 20747",8,194,6/30/2020,1
5/8/2020,561422,"Protocall Communications, Inc.","204 Main Street                      Laurel, MD 20707",8,110,3/23/2020,2
5/8/2020,423110,Cox Automotive,"7120 Dorsey Run Road                  Elkridge, MD 21075",6,161,5/17/2020,2
5/11/2020,812930,"LAZ Parking Mid-Atlantic, LLC","300 E. Lombard Street                              Suite 930                                    Baltimore, MD 21202",3,90,3/18/2020,2
5/11/2020,339999,"E&G Corporation, LLC","8730 Greewood Place              Savage, MD 20763",6,22,3/30/2020,2
