Company,City,AffectedWorkers,NoticeRcvd,NoticeType,LayoffBeginDate,NAICSDescription,County,WDA
Bed Bath &amp; Beyond Inc.,Brookfield,55,20200424,WR,04/04/2020,All Other Home Furnishings Stores,Waukesha,Waukesha-Ozaukee-Washington
Visionworks,"Kenosha, Milwaukee, Shorewood, West Allis, Wauwatosa, Greendale, Mequon, West Bend, Brookfield, Waukesha, Oconomowoc, Menomonee Falls, Eau Claire, La Crosse",97,20200422,CL,04/05/2020,Optical Goods Stores,"Eau Claire, Kenosha, La Crosse, Milwaukee, Ozaukee, Washington, Waukesha","Southeast, Milwaukee, Waukesha-Ozaukee-Washington, West Central, Western"
Metals USA Carbon Flat Rolled Inc,Horicon,10,20200427,WR,04/23/2020,Metal Merch Whls,Dodge,South Central
Global Finishing Solutions,Osseo,94,20200427,WR,04/28/2020,Sheet Metal Work Mfg,Trempealeau,Western
Smart Sand Inc.,Tomah,55,20200428,WR,05/01/2020,Ind Sand Mining,Monroe,Western
The Hertz Corporation,Milwaukee,38,20200428,WR,04/14/2020,Passenger Car Rental,Milwaukee,Milwaukee
Footlocker.com/Eastbay,Wausau,1,20200428,WR,04/26/2020,Managing Offices,Marathon,North Central,Y
Foot Locker,"Appleton, Brookfield, Glendale, Green Bay, Greendale, La Crosse, Madison, Milwaukee, Racine, Wauwatosa",261,20200428,WR,04/26/2020,Shoe Stores,"Brown, Dane, La Crosse, Milwaukee, Outagamie, Racine, Waukesha","Bay Area, Milwaukee County, South Central, Southeast, WOW, Western"
Enterprise Holdings,"Waukesha, Oak Creek, Milwaukee",260,20200429,WR,03/23/2020,Passenger Car Rental,"Waukesha, Milwaukee","Milwaukee, WOW"
Sheraton Milwaukee Brookfield Hotel,Brookfield,101,20200430,WR,03/27/2020,Hotels &amp; Motels exc Casino Hotels,Waukesha,Waukesha-Ozaukee-Washington
Bluegreen Vacations,Wisconsin Dells,242,20200430,WR,03/27/2020,Lessors of Residentials Bldgs,Sauk,South Central
Covia Corp.,Tomah,32,20200504,WR,05/04/2020,Ind Sand Mining,Monroe,Western
Holy Family College,Manitowoc,110,20200506,CL,05/06/2020,Colleges &amp; Universities,Manitowoc,Bay Area
Eastbay Retail Store,Wausau,21,20200428,WR,04/26/2020,Shoe Stores,Marathon,North Central
Badger Mining Corporation,Taylor,38,20200514,WR,05/14/2020,Ind Sand Mining,Jackson,Western
