Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Layoff *,08/05/2010,08/16/2010,"VANITY FAIR BRANDS, LP",Monroeville,68
Closing *,08/06/2010,09/30/2010,"CHUGACH WORLD SERVICES, INC.",Redstone Arsenal,317
Layoff *,08/06/2010,09/30/2010,NORTHROP GRUMMAN,Redstone Arsenal,92
Closing *,07/23/2010,12/31/2010,BERRY PLASTICS COMPANY - COVALENCE SPECIALTY ADHES,Albertville,93
Layoff *,06/21/2010,08/19/2010,BASTION TECHNOLOGIES,Huntsville,124
Closing *,05/19/2010,10/30/2010,GE DOTHAN MOTOR PLANT,Dothan,65
Closing *,05/12/2010,05/12/2010,SIRSIDYNIX,Huntsville,64
Closing *,03/22/2010,04/30/2010,AUTO WAREHOUSING COMPANY,Lincoln,54
Closing *,04/08/2010,06/05/2010,REPAK SOUTH/PMDC SOUTH/GILDAN,Fort Payne,27
Closing *,02/24/2010,04/30/2010,VF JEANSWEAR,Holly Pond,148
Layoff *,02/24/2010,06/01/2010,JAY MID-SOUTH,Gadsden,75
Closing *,11/01/2010,12/27/2010,GAF MATERIALS CORP.,Mobile,61
Closing *,06/01/2010,07/31/2010,"DAIRY FRESH, INC.",Prichard,116
Layoff *,01/22/2010,06/02/2020,URS CORPORATION,Birmingham,134
Layoff *,11/02/2010,12/31/2010,"SUNGARD BUSINESS SYSTEMS, LLC",Birmingham,122
Closing *,08/25/2010,10/29/2010,"CAREMARK RX, LLC",Birmingham,369
Closing *,07/01/2010,08/30/2010,SITEL,Birmingham,432
Closing *,05/03/2010,04/30/2010,MCWANE CAST IRON PIPE COMPANY,Birmingham,117
Layoff *,03/09/2010,03/05/2010,MCWANE CAST IRON PIPE COMPANY,Birmingham,88
Closing *,02/03/2010,03/05/2010,"UNITED STATES PIPE AND FOUNDRY COMPANY, LLC",Birmingham,244
Closing *,01/28/2010,03/31/2010,CONTACT US TELESERVICES,Birmingham,114
Layoff *,03/16/2009,03/06/2009,KV PHARMACEUTICAL COMPANY/THER-RX CORPORATION,Hoover,6
Closing *,03/14/2009,09/26/2008,WACHOVIA CORPORATION,Homewood,76
Closing *,02/28/2009,06/02/2020,SEARS HOLDINGS,Birmingham,15
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Montgomery,58
Layoff *,02/06/2009,03/01/2009,"STEVENS GRAPHICS, INC.",Birmingham,283
Layoff *,01/28/2009,12/01/2008,BIRMINGHAM SOUTHERN RAILROAD COMPANY,Fairfield,41
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Montgomery,60
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Orange Beach,40
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Spanish Fort,68
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Gulf Shores,63
Closing *,03/16/2009,05/17/2009,BRUNO'S SUPERMARKETS,Fairhope,93
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Moody,62
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Tuscaloosa,72
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Prattville,51
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Tuscaloosa,55
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Jasper,67
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Monroeville,64
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Demopolis,62
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Gadsden,40
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Sylacauga,64
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Pell City,56
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Pelham,45
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Rainbow City,48
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Gadsden,35
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Tuscaloosa,64
Closing *,03/16/2009,05/17/2009,FOOD WORLD,Cullman,49
Closing *,03/16/2009,05/17/2009,FOOD MAX,Oxford,50
Closing *,03/16/2009,05/17/2009,FOOD MAX,Northport,58
Closing *,02/16/2009,05/15/2009,"GRAPHIC PACKAGING INTERNATIONAL, INC.",Tuscaloosa,87
Closing *,02/25/2009,02/26/2009,"RUSSELL CORP., COOSA RIVER YARN PLANT",Wetumpka,138
Closing *,02/25/2009,02/23/2009,"WEYERHAEUSER CO., CASTLEBERRY",Castleberry,71
Closing *,02/20/2009,05/22/2009,GERBER CHILDRENSWEAR LLC,Evergreen,77
Closing *,02/19/2009,04/20/2009,LOPAREX LLC,Cullman,78
Layoff *,02/17/2009,04/17/2009,SCOTCH LUMBER COMPANY,Fulton,143
Closing *,08/17/2009,12/02/2011,CR COMPRESSORS LLC,Hartselle,149
Closing *,12/28/2009,02/27/2010,SITEL,Winfield,302
Layoff *,12/19/2009,01/31/2010,LOCKHEED MARTIN CORPORATION,Huntsville,63
Closing *,11/19/2009,01/18/2010,"NEW ERA CAP CO., INC.",Jackson,320
Closing *,10/04/2009,11/30/2009,VISTEON CORPORATION,Tuscaloosa,
Layoff *,08/14/2009,11/27/2010,"BAE SYSTEMS, USCS-ANNISTON",Anniston,102
