Date,Company,Jobs Affected,City,Location
12/31/2019,Beed Transportation Inc,Closure,26,West Point,Office
12/28/2019,Connect Gallery,Closure,2,Omaha,Omaha
12/21/2019,Gianna's Java & Gelato,Closure,10,Lincoln,Lincoln
12/21/2019,Kitchen Sink Bakery,Closure,2,Lincoln,Lincoln
12/16/2019,Papa Murphy's,Closure,,Columbus,Columbus
12/14/2019,Petrow's Restaurant,Closure,40,Omaha,Omaha
12/13/2019,Amigos,Closure,,Lincoln,Lincoln - 14th & Q
12/9/2019,Rule G Night Club,Closure,,Lincoln,Lincoln
12/5/2019,"Dickey's Barbeque Restaurants, Inc",Closure,,York,York
11/30/2019,Mouth of the South,Closure,,Omaha,Omaha
11/30/2019,TC Home Furnishings,Closure,3,Columbus,Columbus
11/29/2019,Buffalo Wings & Rings,Closure,20,Lincoln,Lincoln
11/24/2019,Skeeter Barnes,Closure,,Columbus,Columbus
11/23/2019,Forever 21,Closure,35,Lincoln,Lincoln
11/21/2019,Morys Haven in Columbus,Closure,62,Columbus,Columbus
11/21/2019,Utica Community Center,Closure,30,Utica,Utica
11/21/2019,Crestview Healthcare Center - Milford,Closure,50,Milford,Milford
11/19/2019,Jazz: A Louisiana Kitchen,Closure,,Omaha,Omaha
11/19/2019,MWC Acquisitions Co. LLC,Closure,19,Atkinson,Atkinson
11/18/2019,"Prairie Catalyitic, LLC",Closure,15,Columbus,Plant
11/16/2019,Wilber Meat Market,Closure,2,Wilber,Wilber
11/16/2019,Fresh Thyme,Closure,45,Grand Island,Grand Island
11/16/2019,Fresh Thyme,Closure,28,Omaha,Lakeside
11/15/2019,9 South Chargrill # 2,Closure,45,Hickman,Hickman
11/11/2019,Buck Snort Restaurant,Closure,8,Nebraska City,Nebraska City
11/5/2019,AJ's Soda Shop,Closure,1,Scottsbluff,Scottsbluff
11/3/2019,Amigo's/King Classic,Closure,15,Auburn,Auburn
11/2/2019,Green Flash Brewhouse & Eatery,Closure,5,Lincoln,Lincoln
10/31/2019,Seasons Floral & Gifts,Closure,2,Columbus,Columbus
10/31/2019,Valley Bowl,Closure,,Scottsbluff,Scottsbluff
10/31/2019,Airhost Restaurant & Lounge,Closure,10,Lincoln,Lincoln
10/30/2019,"Games People Play, Inc",Closure,3,Omaha,Omaha
10/27/2019,Egg & I,Closure,17,Lincoln,Lincoln
10/24/2019,Thurston Manufacturing,Closure,38,Thurston,Thurston
10/22/2019,Regis Salon,Closure,5,Grand Island,Conestoga Mall
10/22/2019,Blue Prairie Brands,Closure,2,Gering,Gering
